timestamp,action,pair,price,rsi,amount,pnl,portfolio_value
2025-06-25T10:48:50.053869,BUY,SOLUSDT,142.88,22.32,0.706047,,201.76
2025-06-25T10:48:52.267426,BUY,XRPUSDT,2.1731,3.93,23.211401,,201.76
2025-06-25T10:49:53.268439,BUY,ETHUSDT,2403.57,8.68,0.010493,,201.78
2025-06-25T10:57:22.600230,BUY,ADAUSDT,0.5646,27.91,178.731785,,201.82
2025-06-25T11:02:26.515545,BUY,XRPUSDT,2.1758,26.4,23.188852,,202.0
